EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_MAIN_METRICS,VAL_REDUCTION_LEVEL,TEST_LOSS,TEST_NMSE,TEST_MAIN_METRICS,TEST_REDUCTION_LEVEL
30,100,0.55298795,0.00025000,64,34,50,linear,8,28493662826702567072858112.00000000,30795674780338443507466240.00000000,209.643,-198.81450181,-199.29485328,27451282385617911013179392.00000000,210.05983,-199.45898054,-199.76380637
31,100,0.57031997,0.00025000,64,34,50,linear,8,28137883752873857726283776.00000000,30441130665084755139100672.00000000,209.59271,-198.76444119,-199.24478613,27134616353476575995363328.00000000,210.00946,-199.40887789,-199.71369925
32,100,0.59013116,0.00025000,64,34,50,linear,8,27819199695769895796998144.00000000,30091032215152830772674560.00000000,209.54248,-198.71399649,-199.19432950,26822481302848345886162944.00000000,209.9592,-199.35843708,-199.66326281
33,100,0.60753983,0.00025000,64,34,50,linear,8,27495640075236140749160448.00000000,29747263304281197996146688.00000000,209.49258,-198.66373749,-199.14406641,26516392172590274082504704.00000000,209.90938,-199.30820331,-199.61303250
34,100,0.62504780,0.00012500,64,34,50,linear,8,27267224841001701017124864.00000000,29573033806505011281133568.00000000,209.46709,-198.63840969,-199.11875029,26361107480977787077001216.00000000,209.88387,-199.28287924,-199.58770804
35,100,0.64238925,0.00012500,64,34,50,linear,8,27101236152421667169107968.00000000,29399311594190851578789888.00000000,209.4415,-198.61295044,-199.09330758,26206544518227183957704704.00000000,209.85832,-199.25745310,-199.56228451
36,100,0.66022565,0.00012500,64,34,50,linear,8,26936179846074084328734720.00000000,29229043534704493989986304.00000000,209.41628,-198.58732648,-199.06767404,26055186677259387873001472.00000000,209.83316,-199.23186688,-199.53670892
37,100,0.67793374,0.00012500,64,34,50,linear,8,26795337896725399470080000.00000000,29059411887888679380713472.00000000,209.39102,-198.56157265,-199.04190986,25904405297043895211786240.00000000,209.80797,-199.20614786,-199.51100030
38,100,0.69526400,0.00012500,64,34,50,linear,8,26636135333645082421100544.00000000,28890361313511186622316544.00000000,209.36569,-198.53571465,-199.01604075,25754126590604411135852544.00000000,209.78271,-199.18032073,-199.48518310
39,100,0.71263920,0.00012500,64,34,50,linear,8,26476260039866022587531264.00000000,28721663533114103559094272.00000000,209.34027,-198.50974173,-198.99005670,25604276770964640806993920.00000000,209.75739,-199.15439456,-199.45926707
40,100,0.73036498,0.00012500,64,34,50,linear,8,26321668255579002741194752.00000000,28556113228424597188116480.00000000,209.31519,-198.48437394,-198.96467909,25456967990321023968870400.00000000,209.7323,-199.12906916,-199.43394762
41,100,0.74756585,0.00012500,64,34,50,linear,8,26169195028607893153775616.00000000,28392456020845655259873280.00000000,209.29025,-198.45924202,-198.93953409,25311079608971082766221312.00000000,209.70735,-199.10395315,-199.40883517
42,100,0.76520296,0.00012500,64,34,50,linear,8,26030336307409517648281600.00000000,28229359133117952259260416.00000000,209.26523,-198.43403892,-198.91431725,25165677760496085652996096.00000000,209.68234,-199.07876476,-199.38365029
43,100,0.78371775,0.00012500,64,34,50,linear,8,25877940732003581232676864.00000000,28067551211632399713566720.00000000,209.24028,-198.40877487,-198.88903162,25021357352392409762234368.00000000,209.65736,-199.05350240,-199.35839157
44,100,0.80148725,0.00012500,64,34,50,linear,8,25723638486638608169041920.00000000,27905367437736345335758848.00000000,209.21513,-198.38349788,-198.86373548,24876654174349204398276608.00000000,209.63217,-199.02822596,-199.33311895
45,100,0.81929791,0.00006250,64,34,50,linear,8,25609338482678632424669184.00000000,27825015726394275742613504.00000000,209.20264,-198.37116319,-198.85140528,24804398277812484084596736.00000000,209.61957,-199.01582603,-199.32071313
46,100,0.83918310,0.00006250,64,34,50,linear,8,25529637593211565974224896.00000000,27746054438386762006921216.00000000,209.19028,-198.35895332,-198.83920012,24733449794261987935387648.00000000,209.60715,-199.00354964,-199.30843092
47,100,0.85639581,0.00006250,64,34,50,linear,8,25468992800985685241626624.00000000,27667688057875625404268544.00000000,209.17801,-198.34674648,-198.82699790,24663068548091758354890752.00000000,209.59479,-198.99127478,-199.29615042
48,100,0.87365451,0.00006250,64,34,50,linear,8,25391103959160638819794944.00000000,27589515368177262751907840.00000000,209.16573,-198.33451181,-198.81476776,24592890216106339579461632.00000000,209.58243,-198.97897231,-199.28384248
49,100,0.89120804,0.00006250,64,34,50,linear,8,25315499309789995557978112.00000000,27511582486151858323718144.00000000,209.15344,-198.32224519,-198.80250569,24522956303479897455591424.00000000,209.57007,-198.96663801,-199.27150299
